"STATION","NAME","DATE","PRCP"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-20","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-21","0.13"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-22","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-23","0.02"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-24","0.34"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-25","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-26","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-27","0.01"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-28","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-29","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-30","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-05-31","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-01","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-02","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-03","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-04","0.06"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-05","0.89"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-06","0.05"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-07","0.01"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-08","0.30"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-09","0.29"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-10","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-11","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-12","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-13","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-14","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-15","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-16","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-17","0.00"
"FRM00007156","PARIS MONTSOURIS, FR","2022-06-18","0.00"
